timestamp,company,gold_type,buy_price,sell_price,location
2025-01-11 08:30:06,SJC,SJC Jewelry 99%,83044554.4554,85544554.4554,National
2025-01-11 08:30:06,SJC,SJC Ring 1C,84800000.0,86600000.0,National
2025-01-13 11:20:06,SJC,SJC 1L,84800000.0,86800000.0,National
2025-01-13 11:20:06,SJC,SJC Jewelry 24K,84700000.0,86300000.0,National
2025-01-13 11:20:06,SJC,SJC Jewelry 99%,82945544.5544,85445544.5544,National
2025-01-13 11:20:06,SJC,SJC Jewelry 18K,61881473.1473,64881473.1473,National
2025-01-13 11:20:06,SJC,SJC Ring 1C,84700000.0,86500000.0,National
2025-01-14 08:50:06,SJC,SJC 1L,84400000.0,86400000.0,National
2025-01-14 08:50:06,SJC,SJC Jewelry 18K,61581443.1443,64581443.1443,National
2025-01-14 08:50:06,SJC,SJC Jewelry 24K,84400000.0,85900000.0,National
2025-01-14 08:50:06,SJC,SJC Jewelry 99%,82549504.9504,85049504.9504,National
2025-01-14 08:50:06,SJC,SJC Ring 1C,84400000.0,86100000.0,National
2025-01-15 14:40:06,SJC,SJC 1L,84600000.0,86600000.0,National
2025-01-15 14:40:06,SJC,SJC Jewelry 18K,61581443.1443,64581443.1443,National
2025-01-15 14:40:06,SJC,SJC Jewelry 24K,84500000.0,85900000.0,National
2025-01-15 14:40:06,SJC,SJC Jewelry 99%,82549504.9504,85049504.9504,National
2025-01-15 14:40:06,SJC,SJC Ring 1C,84500000.0,86100000.0,National
2025-01-16 13:50:06,SJC,SJC 1L,85000000.0,87000000.0,National
2025-01-16 13:50:06,SJC,SJC Jewelry 18K,61806465.6465,64806465.6465,National
2025-01-16 13:50:06,SJC,SJC Jewelry 24K,84700000.0,86200000.0,National
2025-01-16 13:50:06,SJC,SJC Jewelry 99%,82846534.6534,85346534.6534,National
2025-01-16 13:50:06,SJC,SJC Ring 1C,84800000.0,86500000.0,National
2025-01-17 08:40:06,SJC,SJC Jewelry 24K,84900000.0,86400000.0,National
2025-01-17 08:40:06,SJC,SJC Jewelry 18K,61956480.648,64956480.648,National
2025-01-17 08:40:06,SJC,SJC Ring 1C,85000000.0,86700000.0,National
2025-01-17 08:40:06,SJC,SJC Jewelry 99%,83044554.4554,85544554.4554,National
2025-01-17 08:40:06,SJC,SJC 1L,85300000.0,87300000.0,National
2025-01-18 08:20:13,SJC,SJC 1L,84900000.0,86900000.0,National
2025-01-18 08:20:13,SJC,SJC Jewelry 18K,61656450.645,64656450.645,National
2025-01-18 08:20:13,SJC,SJC Jewelry 24K,84500000.0,86000000.0,National
2025-01-18 08:20:13,SJC,SJC Jewelry 99%,82648514.8514,85148514.8514,National
2025-01-18 08:20:13,SJC,SJC Ring 1C,84600000.0,86300000.0,National
2025-01-20 13:20:06,SJC,SJC 1L,84900000.0,86900000.0,National
2025-01-20 13:20:06,SJC,SJC Jewelry 18K,61656450.645,64656450.645,National
2025-01-20 13:20:06,SJC,SJC Jewelry 24K,84500000.0,86000000.0,National
2025-01-20 13:20:06,SJC,SJC Jewelry 99%,82648514.8514,85148514.8514,National
2025-01-20 13:20:06,SJC,SJC Ring 1C,84600000.0,86300000.0,National
2025-01-21 15:50:07,SJC,SJC Jewelry 18K,62106495.6495,65106495.6495,National
2025-01-21 15:50:07,SJC,SJC 1L,85500000.0,87500000.0,National
